Timestamp,"Participation is entirely voluntary, and you may withdraw at any time by closing your browser. Do you consent to taking part in this survey?",Age?,Grade Level?,Gender,Are you a professional video game player (you earn a stable income by playing video games)?,What is the code that you were given at the beginning of the game? Please utilize the correct case (capital / lowercase).,What was the first character in this code? Please utilize the correct case (capital / lowercase).,What was the second character in your code? Please utilize the correct case (capital / lowercase).,"Were you able to complete the game? If not, make sure you pressed 'p' before closing the tab.","If you were able to complete it, what is the code that you were given at the end of the game? Please utilize the correct case (capital / lowercase). Leave blank if you were not able to complete the game.",Have you had any prior experience (before this playthrough) with the game utilized in this study?,I felt fully engaged while playing the game.,I wanted to continue playing after the levels ended.,I paid close attention to the game's mechanics while playing.,I enjoyed playing the game.,I would like to play this game again.,I could easily figure out what to do in the game.,"The game was appropriately challenging (not too easy, but not overly-difficult).",Preceding levels helped me understand how to better play subsequent ones.,Preceding levels prepared me for challenges in subsequent levels.,I felt confident in my ability to complete the last level after playing the previous ones.,Timestamp,Code,Implicitness,Adaptability,Level 1 Time,Level 2 Time,Level 3 Time,Level 4 Time,Level 5 Time,Level 6 Time,Level 7 Time,Level 4 Star,Level 5 Star,Level 6 Star,Level 7 Star,Level 1 Deaths,Level 2 Deaths,Level 3 Deaths,Level 4 Deaths,Level 5 Deaths,Level 6 Deaths,Level 7 Deaths,Total Button Presses,Level 1 Button Presses,Level 2 Button Presses,Level 3 Button Presses,Level 4 Button Presses,Level 5 Button Presses,Level 6 Button Presses,Level 7 Button Presses,Total Time,Total Stars,Total Deaths,Average Button Presses per Second,Average Deaths per Level,Average Button Presses per Level
3/9/2026 8:58:32,Yes,16,11,Female,No,mb896070,m,b,No,,No,3,2,5,4,4,5,4,5,3,4,3/9/2026 8:14:06,mb896070,moderate,no,34.7916,16.2301,41.0433,9.9348,7.4137,25.4306,0,FALSE,FALSE,FALSE,FALSE,0,0,3,0,0,0,0,170,15,40,30,28,16,41,0,134.8441,0,3,1.260715152,0.4285714286,24.28571429
3/9/2026 23:10:52,Yes,17,11,Female,No,ma236298,m,a,No,n/a,No,1,1,1,1,1,1,1,1,1,1,3/9/2026 23:10:34,ma236298,moderate,yes,64.3523,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,64.3523,0,0,0.2952497424,0,2.714285714
3/11/2026 20:30:35,Yes,17,12,Male,No,mb287296,m,b,No,,No,4,3,3,3,2,4,4,5,5,5,3/11/2026 20:29:53,mb287296,moderate,no,23.8042,4.7667,3.9667,119.8625,11.6334,58.7118,0,TRUE,TRUE,FALSE,FALSE,0,0,0,74,1,2,0,961,5,30,20,662,36,208,0,222.7453,3,77,4.31434468,11,137.2857143
3/11/2026 20:47:45,Yes,16,11,Male,No,mb393057,m,b,Yes,mb393057,No,5,2,5,4,4,5,4,5,4,3,3/11/2026 20:43:36,mb393057,moderate,no,35.4746,7.376,8.425,30.7528,23.8764,247.7544,1409.5865,FALSE,TRUE,TRUE,TRUE,0,0,0,3,1,11,42,4079,15,18,16,78,46,606,3300,1763.2457,12,57,2.313347482,8.142857143,582.7142857
3/11/2026 21:08:06,Yes,17,11,Male,No,ib916097,i,b,No,,No,5,3,5,4,3,5,4,5,5,4,3/11/2026 21:07:27,ib916097,high,no,39.122,5.3333,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,24,11,13,0,0,0,0,0,44.4553,0,0,0.5398681372,0,3.428571429
3/11/2026 21:25:51,Yes,18,12,Male,No,ib581052,i,b,Yes,ib581052,No,3,4,2,4,4,5,4,4,4,5,3/11/2026 21:25:58,ib581052,high,no,11.0907,3.9205,4.7713,21.6375,11.5778,25.3745,113.593,TRUE,TRUE,FALSE,FALSE,0,0,0,1,0,1,2,507,7,7,11,60,20,76,326,191.9653,2,4,2.641102324,0.5714285714,72.42857143
3/11/2026 23:04:15,Yes,17,11,Male,No,ma747473,m,a,Yes,ma747473,No,4,5,5,4,4,4,1,5,4,5,3/12/2026 14:11:48,ma747473,moderate,yes,10291.6374,12.5628,4.8384,83.6049,16.0003,55.8091,79.5675,TRUE,TRUE,FALSE,FALSE,0,0,0,12,0,2,2,672,1,42,16,250,48,160,155,10544.0204,4,16,0.06373280537,2.285714286,96
3/12/2026 11:23:59,Yes,16,11,Male,No,na585711,n,a,Yes,na585711,No,4,4,4,4,4,3,3,2,2,5,3/12/2026 11:22:38,na585711,low,yes,30.3628,3.9164,3.9166,15.9992,11.0328,17.4826,215.1234,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,4,599,7,6,6,44,16,30,490,297.8338,2,4,2.011188791,0.5714285714,85.57142857
3/12/2026 21:03:13,Yes,17,11,Female,No,ia996979,i,a,No,,No,2,1,1,3,2,4,4,4,4,4,3/12/2026 21:01:45,ia996979,high,yes,51.8025,22.5325,13.5992,11.9995,68.3968,0,0,FALSE,TRUE,FALSE,FALSE,0,0,0,0,3,0,0,194,9,54,22,22,87,0,0,168.3305,1,3,1.152494646,0.4285714286,27.71428571
3/12/2026 22:14:43,Yes,17,11,Male,No,ib713496,i,b,Yes,ib713496,No,5,2,2,2,2,3,5,2,2,4,3/12/2026 22:11:16,ib713496,high,no,54.923,24.2832,5.2669,36.5664,19.6834,142.35,724.3996,TRUE,TRUE,TRUE,TRUE,0,0,0,1,1,3,24,2674,41,86,12,134,32,382,1987,1007.4725,12,29,2.654166739,4.142857143,382
3/14/2026 17:39:16,Yes,16,10,Male,No,ma538286,m,a,No,,No,5,5,3,5,5,5,5,5,5,5,3/14/2026 17:38:38,ma538286,moderate,yes,22.0526,2.8834,4.7417,151.058,60.4998,13.0073,0,TRUE,TRUE,FALSE,FALSE,0,0,0,22,6,0,0,996,23,12,16,718,154,73,0,254.2428,4,28,3.917515068,4,142.2857143
3/14/2026 18:07:34,Yes,16,11,Male,No,ia672206,i,a,No,,No,5,5,4,5,5,3,4,5,5,2,3/14/2026 18:05:43,ia672206,high,yes,30.9569,3.0168,1.8626,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,27,1,19,7,0,0,0,0,35.8363,0,0,0.7534259954,0,3.857142857
3/14/2026 22:13:59,Yes,17,12,Male,No,ma138844,m,a,No,,No,5,4,4,4,2,5,2,5,3,1,3/14/2026 22:13:08,ma138844,moderate,yes,41.5025,10.4666,8.2221,172.9333,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,49,0,0,0,628,5,46,14,563,0,0,0,233.1245,0,49,2.693839558,7,89.71428571
3/14/2026 23:14:08,Yes,17,11,Male,No,ia479295,i,a,Yes,ia479295,No,5,5,5,4,4,4,4,5,5,4,3/14/2026 23:12:35,ia479295,high,yes,13.4685,5.0116,5.8943,28.172,29.0712,56.9602,160.7407,TRUE,TRUE,FALSE,FALSE,0,0,0,0,1,3,2,543,7,14,16,54,54,86,312,299.3185,3,6,1.814121078,0.8571428571,77.57142857
3/15/2026 1:56:23,Yes,18,12,Male,No,nb273229,n,b,No,,No,4,3,5,4,3,3,4,4,4,3,3/15/2026 1:55:54,nb273229,low,no,562.8138,1.7551,1.6374,51.0164,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,26,0,0,0,248,3,12,8,225,0,0,0,617.2227,0,26,0.401799869,3.714285714,35.42857143
3/15/2026 19:04:54,Yes,16,11,Male,No,ma318510,m,a,No,,No,1,1,1,1,1,1,1,1,1,1,3/15/2026 19:03:36,ma318510,moderate,yes,47.4252,3.2797,1.6002,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,25,1,15,9,0,0,0,0,52.3051,0,0,0.4779648638,0,3.571428571
3/16/2026 8:51:28,Yes,14,11,Male,No,ma934011,m,a,Yes,ma934011,No,4,4,3,4,4,3,3,3,3,3,3/16/2026 8:52:37,ma934011,moderate,yes,28.3503,10.9657,5.0329,40.2124,19.7979,25.6638,238.7583,TRUE,TRUE,FALSE,FALSE,0,0,0,5,1,1,7,1242,4,49,10,198,40,98,843,368.7813,2,14,3.367849726,2,177.4285714
3/16/2026 8:51:42,Yes,17,12,Female,No,ma129232,m,a,No,,No,5,4,3,3,3,3,4,4,4,3,3/16/2026 8:50:55,ma129232,moderate,yes,74.2589,24.249,7.033,112.1281,96.7956,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,12,3,0,0,793,51,40,14,320,368,0,0,314.4646,3,15,2.521746486,2.142857143,113.2857143
3/16/2026 21:41:39,Yes,17,11,Female,No,nb691697,n,b,No,,No,4,2,3,3,2,4,2,4,4,1,3/16/2026 21:40:50,nb691697,low,no,43.8684,17.536,13.5095,78.1783,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,8,0,0,0,285,5,54,22,204,0,0,0,153.0922,0,8,1.861623257,1.142857143,40.71428571
3/17/2026 9:03:27,Yes,17,11,Male,No,nb019077,n,b,Yes,nb019077,No,5,5,5,5,5,5,5,5,5,5,3/17/2026 9:02:43,nb019077,low,no,34.807,4.7453,3.9128,24.9918,11.189,18.0987,17.6325,FALSE,TRUE,FALSE,FALSE,0,0,0,3,0,0,0,195,7,14,6,90,14,20,44,115.3771,1,3,1.690110083,0.4285714286,27.85714286
3/17/2026 9:04:12,Yes,15,9,Male,No,na982266,n,a,Yes,na982266,No,4,5,4,4,4,5,2,5,5,5,3/17/2026 9:02:43,na982266,low,yes,32.8659,3.9129,3.9127,7.4427,21.5453,27.9888,72.8279,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,1,1,354,4,7,4,22,44,68,205,170.4962,1,2,2.076292609,0.2857142857,50.57142857
3/17/2026 10:05:56,Yes,16,11,Female,No,ma979459,m,a,No,,No,3,4,3,3,3,3,2,4,4,4,3/17/2026 10:04:55,ma979459,moderate,yes,34.5915,4.3662,4.516,7.3494,7.4658,14.6152,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,115,7,9,8,31,22,38,0,72.9041,0,0,1.577414713,0,16.42857143
3/17/2026 10:29:05,Yes,15,9,Prefer not to say,No,mb796970,m,b,No,,No,3,4,5,4,4,5,4,5,4,4,3/17/2026 10:27:29,mb796970,moderate,no,10.1415,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10.1415,0,0,0.09860474289,0,0.1428571429
3/17/2026 11:04:00,Yes,14,9,Male,No,ma754972,m,a,Yes,ma754972,No,3,3,4,4,2,1,3,5,5,2,3/17/2026 11:02:46,ma754972,moderate,yes,21.4352,3.9163,3.9162,12.632,13.1986,14.7151,185.4104,FALSE,TRUE,FALSE,FALSE,0,0,0,3,0,0,3,384,11,8,4,44,26,46,245,255.2238,1,6,1.504561879,0.8571428571,54.85714286
3/17/2026 11:09:24,Yes,18,12,Female,No,na042704,n,a,No,,No,3,1,4,3,1,5,5,5,5,4,3/17/2026 11:07:46,na042704,low,yes,32.5879,4.0829,4.2496,21.1978,0,0,0,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,105,7,8,8,82,0,0,0,62.1182,1,0,1.690325863,0,15
3/17/2026 11:18:36,Yes,18,12,Female,No,ma314906,m,a,No,,No,4,4,4,4,5,3,4,3,3,4,3/17/2026 11:17:53,ma314906,moderate,yes,42.605,8.6326,6.6659,146.2846,54.011,40.2957,0,TRUE,TRUE,FALSE,FALSE,0,0,0,19,2,0,0,513,7,24,8,306,80,88,0,298.4948,3,21,1.718622904,3,73.28571429
3/17/2026 11:24:11,Yes,17,12,Female,No,mb858408,m,b,No,,No,4,4,2,4,4,1,1,1,3,1,3/17/2026 11:23:00,mb858408,moderate,no,43.9929,19.0314,6.0992,435.5541,46.6784,42.3789,0,TRUE,TRUE,FALSE,FALSE,0,0,0,50,3,0,0,1659,3,66,10,1326,78,176,0,593.7349,8,53,2.794176323,7.571428571,237
3/17/2026 12:02:29,Yes,15,9,Prefer not to say,No,na757243,n,a,No,,No,3,3,3,4,4,5,5,5,5,3,3/17/2026 12:01:20,na757243,low,yes,27.1467,4.6495,4.9495,16.9316,18.2147,11.2655,0,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,120,5,14,10,60,20,11,0,83.1575,2,0,1.443044825,0,17.14285714
3/17/2026 12:03:57,Yes,15,9,Female,No,ib848472,i,b,No,,No,1,1,3,1,1,1,1,1,1,1,3/17/2026 12:03:13,ib848472,high,no,50.509,4.0496,3.9163,7.5325,33.1965,21.1644,0,FALSE,TRUE,FALSE,FALSE,0,0,0,0,3,0,0,172,23,10,6,28,54,51,0,120.3683,2,3,1.428947655,0.4285714286,24.57142857
3/17/2026 12:06:21,Yes,15,9,Male,No,nb686658,n,b,Yes,nb686658,No,4,5,4,4,3,4,3,5,4,5,3/17/2026 12:06:28,nb686658,low,no,46.0782,3.9165,5.6663,14.6327,13.7327,46.2145,71.7468,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,1,1,536,9,6,10,79,33,144,255,201.9877,1,2,2.653626929,0.2857142857,76.57142857
3/17/2026 12:12:27,Yes,15,9,Female,No,mb129213,m,b,Yes,mb129213,No,5,5,4,4,2,5,4,4,5,4,3/17/2026 12:11:07,mb129213,moderate,no,32.5282,3.9794,4.2625,7.9588,29.6872,17.5826,56.7438,FALSE,TRUE,FALSE,FALSE,0,0,0,0,2,0,1,312,6,7,8,26,84,36,145,152.7425,1,3,2.042653485,0.4285714286,44.57142857
3/17/2026 12:13:20,Yes,17,12,Nonbinary,No,na715973,n,a,Yes,na715973,No,5,4,5,4,3,4,4,5,4,3,3/17/2026 12:13:29,na715973,low,yes,37.3385,13.9485,11.5321,121.4539,49.1948,150.3342,362.8283,FALSE,FALSE,FALSE,FALSE,0,0,0,20,2,1,11,1339,13,32,18,296,74,248,658,746.6303,0,34,1.793390919,4.857142857,191.2857143
3/17/2026 12:13:35,Yes,17,12,Female,No,nb787414,n,b,No,,No,4,2,2,3,1,1,4,4,4,2,3/17/2026 12:12:47,nb787414,low,no,47.6635,7.8755,6.2772,54.8456,65.6849,143.3413,199.5356,TRUE,TRUE,FALSE,FALSE,0,0,0,3,3,4,8,1190,7,22,14,204,124,270,549,525.2236,3,18,2.265701694,2.571428571,170
3/17/2026 12:17:27,Yes,17,12,Transgender Woman,No,ib430922,i,b,Yes,ib430922,No,4,2,4,3,3,4,5,5,3,5,3/17/2026 12:16:30,ib430922,high,no,26.2661,3.9162,3.9163,9.8657,15.465,58.6771,412.8231,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,3,14,1664,20,8,6,46,46,130,1408,530.9295,8,17,3.134126094,2.428571429,237.7142857
3/17/2026 12:57:39,Yes,18,12,attack helicopter,No,mb330816,m,b,Yes,ib337063,No,4,3,2,4,3,2,3,1,2,4,3/17/2026 12:54:06,mb330816,moderate,no,64.6236,4.2331,4.1332,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,25,9,10,6,0,0,0,0,72.9899,0,0,0.3425131422,0,3.571428571
3/17/2026 13:17:55,Yes,17,12,enby,No,nb156208,n,b,Yes,nb156208,No,4,2,3,4,2,1,4,3,4,2,3/17/2026 13:12:14,nb156208,low,no,55.9682,7.0763,9.041,159.4253,80.0041,136.3146,3603.7024,FALSE,FALSE,FALSE,FALSE,0,0,0,10,2,0,28,1835,9,16,30,196,142,226,1216,4051.5319,0,40,0.452915106,5.714285714,262.1428571
3/17/2026 13:18:47,Yes,14,9,Female,No,ia207648,i,a,No,,No,4,4,4,5,3,2,4,5,5,2,3/17/2026 13:16:19,ia207648,high,yes,76.7057,188.8278,10.2065,52.3814,7.2095,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,7,0,0,0,655,41,411,11,171,21,0,0,335.3309,0,7,1.953294492,1,93.57142857
3/17/2026 15:25:36,Yes,16,9,Male,No,mb878799,m,b,Yes,mb878799,No,5,5,5,4,4,2,2,5,4,5,3/17/2026 15:24:32,mb878799,moderate,no,46.6388,9.3977,5.8895,29.1385,14.8752,76.8056,442.7535,FALSE,FALSE,FALSE,TRUE,0,0,0,5,1,2,9,1466,5,42,14,82,26,174,1123,625.4988,4,17,2.343729516,2.428571429,209.4285714
3/17/2026 15:53:15,Yes,15,9,Male,No,ma864623,m,a,No,,No,4,3,2,1,1,2,1,4,3,5,3/17/2026 15:52:22,ma864623,moderate,yes,34.6535,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,34.6535,0,0,0.14428557,0,0.7142857143
3/17/2026 16:32:43,Yes,14,9,Male,No,mb751756,m,b,Yes,mb751756,No,5,4,4,5,5,4,3,4,5,5,3/17/2026 16:30:10,mb751756,moderate,no,20.8911,7.8324,7.8325,33.7631,28.7637,43.8954,81.8913,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,443,5,6,14,145,19,78,176,224.8695,5,1,1.970031507,0.1428571429,63.28571429
3/17/2026 19:05:57,Yes,17,12,Male,No,nb493906,n,b,No,,No,3,2,4,4,4,5,3,4,4,2,3/17/2026 19:05:10,nb493906,low,no,42.1175,4.1293,4.9616,16.6835,36.4972,66.2011,0,FALSE,TRUE,FALSE,FALSE,0,0,0,4,3,0,0,400,5,12,10,68,92,213,0,170.5902,2,7,2.344800581,1,57.14285714
3/17/2026 19:18:47,Yes,14,9,Female,No,ia939601,i,a,No,,No,4,2,2,3,2,3,3,3,3,2,3/17/2026 19:18:38,ia939601,high,yes,32.9008,18.7481,14.282,205.4949,111.8049,0,0,FALSE,FALSE,FALSE,FALSE,0,0,4,21,0,0,0,689,3,70,22,416,178,0,0,383.2307,0,25,1.797872665,3.571428571,98.42857143
3/17/2026 19:46:56,Yes,15,9,Female,No,nb749410,n,b,Yes,nb49410,No,5,4,5,5,5,4,5,4,4,5,3/17/2026 19:45:27,nb749410,low,no,49.4653,8.7324,4.9662,62.76,30.0468,33.5465,61.2769,FALSE,TRUE,FALSE,FALSE,0,0,0,6,1,0,0,517,5,38,10,186,54,74,150,250.7941,1,7,2.061452004,1,73.85714286
3/17/2026 20:23:55,Yes,16,11,Male,No,nb942747,n,b,Yes,nb942747,No,4,5,2,4,4,4,5,2,4,4,3/17/2026 20:23:16,nb942747,low,no,29.2628,5.2448,6.5934,56.6606,24.2759,88.6455,168.2167,FALSE,TRUE,FALSE,FALSE,0,0,0,4,1,0,6,828,9,16,14,162,38,178,411,378.8997,1,11,2.185274889,1.571428571,118.2857143
3/17/2026 22:09:50,Yes,15,9,Female,No,ib490080,i,b,No,,No,4,2,2,5,3,5,4,4,4,2,3/17/2026 22:09:09,ib490080,high,no,45.4527,4.4713,2.6454,65.2581,16.8231,49.1571,23.2316,FALSE,TRUE,FALSE,FALSE,0,0,0,17,0,1,1,605,1,28,8,298,64,162,44,207.0393,1,19,2.922150529,2.714285714,86.42857143
3/18/2026 8:50:25,Yes,18,12,Male,No,mb271620,m,b,Yes,mb271620,No,5,5,5,5,5,3,4,5,4,5,3/18/2026 8:50:32,mb271620,moderate,no,488.8595,3.9794,3.9128,32.3513,13.2202,198.2369,441.2627,TRUE,TRUE,FALSE,TRUE,0,0,0,1,0,4,6,1658,7,8,4,114,28,196,1301,1181.8228,8,11,1.402917595,1.571428571,236.8571429
3/18/2026 9:05:53,Yes,18,12,Female,No,nb381075,n,b,Yes,nb381075,No,5,4,5,5,5,4,5,5,5,4,3/18/2026 9:05:58,nb381075,low,no,89.546,7.7258,7.709,40.5432,35.3649,206.3955,210.2083,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,7,4,1070,23,20,10,146,78,300,493,597.4927,2,14,1.790816859,2,152.8571429
3/18/2026 10:18:31,Yes,15,9,Female,No,ma197422,m,a,Yes,ma197422,No,4,1,2,2,1,4,4,3,2,5,3/18/2026 10:17:09,ma197422,moderate,yes,30.9156,9.807,5.0117,53.6801,23.0106,76.8738,127.8732,TRUE,TRUE,FALSE,FALSE,0,0,0,10,1,1,6,863,5,34,16,174,44,217,373,327.172,3,18,2.637756287,2.571428571,123.2857143
3/18/2026 10:23:49,Yes,15,9,Female,No,ib394638,i,b,Yes,ib394638,No,5,5,5,5,4,5,5,5,5,4,3/18/2026 10:22:32,ib394638,high,no,52.7223,4.3495,6.7327,16.5482,21.7644,70.6758,383.2108,TRUE,TRUE,TRUE,TRUE,0,0,0,1,1,6,7,1097,7,8,12,46,50,182,792,556.0037,6,15,1.973008453,2.142857143,156.7142857
3/18/2026 11:14:59,Yes,14,9,Male,No,ia128346,i,a,Yes,ia128346,No,5,3,5,4,4,4,2,5,5,5,3/18/2026 11:15:02,ia128346,high,yes,48.972,4.9951,4.1958,32.2847,31.8517,77.6398,226.8585,TRUE,TRUE,FALSE,FALSE,0,0,0,4,2,5,8,916,7,18,6,90,64,164,567,426.7976,2,19,2.14621638,2.714285714,130.8571429
3/18/2026 19:14:39,Yes,15,9,Male,No,mb770737,m,b,Yes,mb770737,No,4,5,5,5,5,3,4,5,5,3,3/18/2026 19:13:08,mb770737,moderate,no,54.6813,10.95,13.6335,128.9966,19.6661,38.7167,134.0798,FALSE,TRUE,FALSE,FALSE,0,0,3,29,1,0,4,1162,4,43,38,490,48,118,421,400.724,1,37,2.89975145,5.285714286,166
3/19/2026 7:22:43,Yes,17,11,Male,No,mb466985,m,b,Yes,,No,5,4,4,4,5,3,5,4,4,3,3/19/2026 7:18:26,mb466985,moderate,no,20.761,25.333,4.65,22.367,13.267,20.65,0,FALSE,TRUE,FALSE,FALSE,0,0,0,3,0,0,0,174,4,10,10,74,18,58,0,107.028,1,3,1.625742796,0.4285714286,24.85714286
3/20/2026 8:43:57,Yes,15,10,Female,No,ia430883,i,a,No,,No,4,4,4,5,5,1,1,1,1,2,3/20/2026 8:42:03,ia430883,high,yes,38.1373,29.6969,7.4659,24.964,23.9308,70.626,0,FALSE,TRUE,FALSE,FALSE,0,0,0,3,1,0,0,411,6,93,14,64,40,194,0,194.8209,2,4,2.109629922,0.5714285714,58.71428571
3/20/2026 8:46:51,Yes,15,10,Female,No,nb275217,n,b,No,,No,5,3,4,5,4,5,3,3,3,4,3/20/2026 9:12:46,nb275217,low,no,39.4431,11.1823,5.5494,41.5957,24.7972,103.1393,1820.0947,FALSE,TRUE,FALSE,FALSE,0,0,0,5,2,1,9,1113,7,31,12,131,48,321,563,2045.8017,1,17,0.5440409987,2.428571429,159
